citation_id,source_url,title,collision_node_count,root_cause,notes
09/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14228,Nghị quyết số 09/2007/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh An Giang,236,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
07/2022/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--153251,"Nghị định số 07/2022/NĐ-CP Sửa đổi, bổ sung một số điều của các Nghị định về xử phạt vi phạm hành chính trong lĩnh vực lâm nghiệp; bảo vệ và kiểm dịch thực vật; thú y; chăn nuôi",230,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
146/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--186269,"Luật Sửa đổi, bổ sung một số điều của 15 luật trong lĩnh vực nông nghiệp và môi trường số 146/2025/QH15",212,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
31/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14956,Nghị quyết số 31/2006/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Tây Ninh,207,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
35/2018/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--132982,"Luật Sửa đổi, bổ sung một số điều của 37 luật có liên quan đến quy hoạch số 35/2018/QH14",193,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
32/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14953,Nghị quyết số 32/2006/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Vĩnh Long,169,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
34/2018/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--137459,"Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học số 34/2018/QH14",150,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
62/2020/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--142843,"Luật sửa đổi, bổ sung một số điều của Luật Xây dựng số 62/2020/QH14",129,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
23/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--186456,"Nghị định số 23/2026/NĐ-CP Sửa đổi, bổ sung một số điều của các nghị định trong lĩnh vực tài nguyên nước",129,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
49/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--23616,Nghị quyết số 49/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Bình Dương,119,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
44/2024/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--175084,Luật Dược sửa đổi 2024 số 44/2024/QH15,102,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
64/2014/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--46740,"Luật Sửa đổi, bổ sung một số điều của Luật thi hành án dân sự số 64/2014/QH13",95,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
82/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--168401,Nghị định số 82/2024/NĐ-CP Sửa đổi bổ sung một số điều của NĐ số 73/2019/NĐ-CP ngày 5 tháng 9 năm 2019 của Chính phủ quy định quản lý đầu tư ứng dụng công nghệ thông tin sử dụng nguồn vốn ngân sách nhà nước,92,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
91/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--168695,"Nghị định số 91/2024/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 156/2018/NĐ-CP ngày 16 tháng 11 năm 2018 của Chính phủ quy định chi tiết thi hành một số điều của Luật Lâm nghiệp",82,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
46/2022/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--154637,"Nghị định số 46/2022/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 13/2020/NĐ-CP ngày 21 tháng 01 năm 2020 của Chính phủ hướng dẫn chi tiết Luật Chăn nuôi",81,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
85/2023/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--164765,"Nghị định số 85/2023/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định 115/2020/NĐ-CP ngày 25 tháng 9 năm 2020 về tuyển dụng, sử dụng và quản lý viên chức",80,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
57/2024/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--173404,"Luật Sửa đổi Luật Quy hoạch, Luật Đầu tư, Luật Đầu tư theo phương thức đối tác công tư và Luật Đấu thầu 2024 số 57/2024/QH15",77,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
39/2013/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--32911,"Luật Sửa đổi, bổ sung một số điều của Luật Thi đua, khen thưởng số 39/2013/QH13",75,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
24/1997/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--24079,Nghị định số 24/1997/NĐ-CP Quy định chi tiết thi hành Pháp lệnh khai thác và bảo vệ công trình khí tượng thuỷ văn,75,unclassified,"Does not match any signal used in this audit (§15 residual, NFD normalization, table/quote broadened triggers, inline thousands-separator, low-max-ordinal restart). Needs individual investigation."
85/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179420,"Luật sửa đổi, bổ sung một số điều của Bộ luật Tố tụng dân sự, Luật Tố tụng hành chính, Luật Tư pháp người chưa thành niên, Luật Phá sản và Luật Hòa giải, đối thoại tại Tòa án số 85/2025/QH15",74,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
58/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--fa058c70-4c23-11f1-89aa-39e28af66afb,"Nghị định 58/2026/NĐ-CP Sửa đổi, bổ sung một số điều của các nghị định liên quan đến quy định điều kiện về an ninh, trật tự đối với một số ngành, nghề đầu tư kinh doanh có điều kiện; quản lý và sử dụng con dấu; quản lý, sử dụng pháo; quy định chi tiết một số điều và biện pháp thi hành Luật Cư trú, Luật Căn cước",73,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
119/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--178361,"Nghị định số 119/2025/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 06/2022/NĐ-CP ngày 07 tháng 01 năm 2022 của Chính phủ quy định giảm nhẹ phát thải khí nhà kính và bảo vệ tầng ô-dôn",70,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
51/2024/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--172923,Luật Bảo hiểm y tế sửa đổi 2024 số Luật số 51/2024/QH15,69,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
61/2014/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--46747,"Luật Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam số 61/2014/QH13",68,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
107/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--187040,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT LÝ LỊCH TƯ PHÁP SỐ 107/2025/QH15",60,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
70/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179987,"Luật Sửa đổi, bổ sung một số điều của Luật Tiêu chuẩn và Quy chuẩn kỹ thuật số 70/2025/QH15",60,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
55/2026/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--b0bea9a0-5b07-11f1-aaad-394eae3c2f65,"Nghị định 55/2026/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 63/2019/NĐ-CP ngày 11 tháng 7 năm 2019 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực quản lý tài sản công; thực hành tiết kiệm, chống lãng phí; dự trữ quốc gia; kho bạc nhà nước đã được sửa đổi, bổ sung một số điều bởi Nghị định số 102/2021/NĐ-CP ngày 16 tháng 11 năm 2021 của Chính phủ",58,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
51/2018/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--128976,"Nghị định số 51/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 158/2006/NĐ-CP ngày 28 tháng 12 năm 2006 của Chính phủ quy định chi tiết Luật Thương mại về hoạt động mua bán hàng hóa qua Sở Giao dịch hàng hóa",55,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
26/2018/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--133028,"Luật Sửa đổi, bổ sung một số điều của Luật Thể dục, thể thao số 26/2018/QH14",55,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
93/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--177269,"Nghị định số 93/2025/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 19/2020/NĐ-CP ngày 12 tháng 02 năm 2020 của Chính phủ về Kiểm tra, xử lý kỷ luật trong thi hành pháp luật về xử lý vi phạm hành chính",54,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
117/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--170131,"Nghị định số 117/2024/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 82/2020/NĐ-CP ngày 15 tháng 7 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực bổ trợ tư pháp; hành chính tư pháp; hôn nhân và gia đình; thi hành án dân sự; phá sản doanh nghiệp, hợp tác xã",53,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
93/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--169886,"Nghị định số 93/2024/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 122/2013/NĐ-CP ngày 11 tháng 10 năm 2013 quy định về tạm ngừng lưu thông, phong tỏa, niêm phong, tạm giữ và xử lý đối với tiền, tài sản liên quan đến khủng bố, tài trợ khủng bố; xác lập danh sách tổ chức, cá nhân liên quan đến khủng bố, tài trợ khủng bố.",53,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
56/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--167268,"Nghị định số 56/2024/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 55/2011/NĐ-CP ngày 04 tháng 7 năm 2011 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và tổ chức bộ máy của tổ chức pháp chế",53,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
46/2024/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--170812,"Nghị định số 46/2024/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 99/2013/NĐ-CP ngày 29 tháng 8 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực sở hữu công nghiệp đã được sửa đổi bổ sung một số điều theo Nghị định số 126/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ",52,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
131/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--187492,"Luật sửa đổi, bổ sung một số điều của Luật Sở hữu trí tuệ số 131/2025/QH15",51,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
123/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--185973,"Luật sửa đổi, bổ sung một số điều của Luật Giáo dục số 43/2019/QH14. số 123/2025/QH15",51,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
78/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179893,"Luật sửa đổi, bổ sung một số điều của Luật Chất lượng sản phẩm, hàng hóa số 78/2025/QH15",51,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
124/2021/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--153630,"Nghị định số 124/2021/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 115/2018/NĐ-CP ngày 04 tháng 9 năm 2018 của Chính phủ quy định xử phạt vi phạm hành chính về an toàn thực phẩm và Nghị định số 117/2020/NĐ-CP ngày 28 tháng 9 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực y tế",48,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
25/2022/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--153552,"Nghị định số 25/2022/NĐ-CP Sửa đổi, bổ sung một điều của Nghị định số 47/2011/NĐ-CP ngày 17 tháng 6 &amp;nbsp;năm 2011 của Chính phủ quy định chi tiết thi hành một số nội dung của Luật Bưu chính",47,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
247/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--182778,"Nghị định số 247/2025/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 171/2016/NĐ-CP ngày 27 tháng 12 năm 2016 của Chính phủ về đăng ký, xóa đăng ký và mua, bán, đóng mới tàu biển đã được sửa đổi, bổ sung bởi Nghị định số 86/2020/NĐ-CP ngày 23 tháng 7 năm 2020",46,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
118/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--185923,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 10 LUẬT CÓ LIÊN QUAN ĐẾN AN NINH, TRẬT TỰ SỐ Luật số: 118/2025/QH15",45,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
46/2014/QH13,https://vbpl.vn/van-ban/chi-tiet/van-ban--36793,"Luật Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế số 46/2014/QH13",45,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
12/1999/QH10,https://vbpl.vn/van-ban/chi-tiet/van-ban--7039,"Luật Sửa đổi, bổ sung một số điều của Luật Báo chí số 12/1999/QH10",44,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
65/2025/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--177813,"Nghị định số 65/2025/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 40/2016/NĐ-CP ngày 15 tháng 5 năm 2016 của Chính phủ quy định chi tiết thi hành một số điều của Luật Tài nguyên, môi trường biển và hải đảo và Nghị định số 11/2021/NĐ-CP ngày 10 tháng 02 năm 2021 của Chính phủ quy định việc giao các khu vực biển nhất định cho tổ chức, cá nhân khai thác, sử dụng tài nguyên biển",41,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
174-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--10249,Nghị định số 174-CP Về quy định cơ cấu thành viên Uỷ ban Nhân dân và số Phó Chủ tịch Uỷ ban nhân dân các cấp,41,nested_list_restart_candidate,"Candidate for a new, not-yet-individually-confirmed pattern: an un-modeled outer grouping level (e.g. uppercase A./B./C. categories, or another table/tariff-schedule genre) whose own inner 1./2./3. list restarts and collides with a sibling. Confirmed root cause on 174-CP and 487-NQ/QHK4 only; other rows in this bucket share the low-max-ordinal signal but are not individually verified."
82/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179887,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT TỔ CHỨC VIỆN KIỂM SÁT NHÂN DÂN SỐ 82/2025/QH15",41,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
75/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--179167,"Luật sửa đổi, bổ sung một số điều của Luật Quảng cáo số 75/2025/QH15",40,quote_broadened_variant,"Quoted amendment text with independent numbering (§12c mechanism), using a citing-phrase/quote-mark variant (curly """"/"""" quotes, or no ""như sau"" wording) not covered by the original plan's straight-quote-only assumption."
88/2025/QH15,https://vbpl.vn/van-ban/chi-tiet/van-ban--178737,"Luật Sửa đổi, bổ sung một số điều của Luật Xử lý vi phạm hành chính số 88/2025/QH15",40,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
487-NQ/QHK4,https://vbpl.vn/van-ban/chi-tiet/van-ban--1689,Nghị quyết số 487-NQ/QHK4 Về việc ban hành Điều lệ Thuế Hàng hoá,39,nested_list_restart_candidate,"Candidate for a new, not-yet-individually-confirmed pattern: an un-modeled outer grouping level (e.g. uppercase A./B./C. categories, or another table/tariff-schedule genre) whose own inner 1./2./3. list restarts and collides with a sibling. Confirmed root cause on 174-CP and 487-NQ/QHK4 only; other rows in this bucket share the low-max-ordinal signal but are not individually verified."
